"Populatie";"Geslacht";"Persoonskenmerken";"Reismotieven";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per jaar/Verplaatsingen (aantal)";"Gemiddeld per persoon per jaar/Afstand (reizigerskilometers)";"Gemiddeld per persoon per jaar/Reisduur (uren)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2018";"Nederland";"    1015";"   13200";"   453.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2019";"Nederland";"     989";"   13140";"   452.6"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2020";"Nederland";"     861";"    9105";"   378.0"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2021";"Nederland";"     915";"    9942";"   424.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2022";"Nederland";"     984";"   11027";"   442.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2023";"Nederland";"     992";"   11669";"   447.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2018";"Nederland";"     200";"    3852";"    98.8"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2019";"Nederland";"     184";"    3549";"    91.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2020";"Nederland";"     135";"    2254";"    58.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2021";"Nederland";"     135";"    2237";"    58.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2022";"Nederland";"     153";"    2699";"    71.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2023";"Nederland";"     159";"    2912";"    77.4"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Zakelijk, beroepsmatig";"Waarde";"2018";"Nederland";"      25";"     802";"    15.9"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Zakelijk, beroepsmatig";"Waarde";"2019";"Nederland";"      39";"    1195";"    24.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Zakelijk, beroepsmatig";"Waarde";"2020";"Nederland";"      26";"     677";"    14.2"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Zakelijk, beroepsmatig";"Waarde";"2021";"Nederland";"      28";"     705";"    15.3"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Zakelijk, beroepsmatig";"Waarde";"2022";"Nederland";"      30";"     759";"    16.5"
