"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht"
"Geslacht: Totaal mannen en vrouwen"
"Marges: Waarde"
"";"";""
"";"";"Vervoerwijzen";"Totaal";"Totaal";"Totaal";"Auto (bestuurder)";"Auto (bestuurder)";"Auto (bestuurder)";"Auto (passagier)";"Auto (passagier)";"Auto (passagier)";"Trein";"Trein";"Trein";"Bus/tram/metro";"Bus/tram/metro";"Bus/tram/metro";"Fiets";"Fiets";"Fiets";"Lopen";"Lopen";"Lopen";"Overige vervoerwijze";"Overige vervoerwijze";"Overige vervoerwijze"
"";"";"Onderwerp";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit";"Ritten per persoon per dag (gemiddeld)";"Afgelegde afstand per rit (gemiddeld)";"Reisduur per rit"
"Perioden";"Leeftijd";"Reismotieven";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten";"aantal";"km";"Minuten"
"1999*";"Totaal";"Totaal";"3,41";"10,96";"23,72";"1,06";"16,16";"23,91";"0,48";"19,04";"28,42";"0,07";"51,39";"50,84";"0,16";"11,99";"27,45";"0,87";"3,18";"19,02";"0,65";"1,30";"20,87";"0,12";"17,13";"32,31"
"2000*";"Totaal";"Totaal";"3,35";"11,00";"23,73";"1,05";"16,25";"23,92";"0,46";"18,99";"28,30";"0,07";"51,29";"50,82";"0,15";"12,01";"27,37";"0,86";"3,20";"19,00";"0,63";"1,33";"21,11";"0,12";"16,83";"31,90"
"2001*";"Totaal";"Totaal";"3,30";"10,99";"23,67";"1,03";"16,34";"23,94";"0,45";"19,03";"28,15";"0,07";"50,98";"50,59";"0,15";"11,87";"27,15";"0,85";"3,20";"18,87";"0,63";"1,36";"21,20";"0,12";"16,89";"31,95"
"2002*";"Totaal";"Totaal";"3,30";"11,01";"23,49";"1,05";"16,33";"23,89";"0,44";"19,03";"28,08";"0,07";"50,68";"50,50";"0,14";"11,66";"27,12";"0,85";"3,20";"18,77";"0,62";"1,32";"20,65";"0,12";"17,25";"31,85"
"2003*";"Totaal";"Totaal";"3,30";"11,04";"23,65";"1,04";"16,56";"24,01";"0,44";"19,27";"28,09";"0,07";"49,93";"50,10";"0,14";"11,35";"27,13";"0,87";"3,26";"19,09";"0,62";"1,34";"21,01";"0,11";"17,96";"32,59"
"2004*";"Totaal";"Totaal";"3,29";"11,03";"23,58";"1,04";"16,61";"24,13";"0,44";"19,34";"28,17";"0,07";"49,74";"50,19";"0,14";"11,23";"27,12";"0,87";"3,28";"19,09";"0,63";"1,32";"20,47";"0,11";"17,17";"32,10"
"2005*";"Totaal";"Totaal";"3,23";"11,07";"23,69";"1,01";"16,88";"24,25";"0,42";"19,46";"28,08";"0,07";"49,24";"50,03";"0,13";"10,83";"27,11";"0,85";"3,33";"19,31";"0,63";"1,36";"20,51";"0,11";"18,51";"33,69"
"2006*";"Totaal";"Totaal";"3,25";"11,01";"23,69";"1,01";"16,99";"24,31";"0,41";"19,33";"27,90";"0,07";"48,81";"49,60";"0,13";"10,23";"26,87";"0,86";"3,33";"19,10";"0,65";"1,40";"21,02";"0,11";"18,49";"33,14"
