"Geslacht";"Leeftijd";"Vervoerwijzen";"Reismotieven";"Marges";"Perioden";"Ritten per persoon per dag (gemiddeld) (aantal)";"Afgelegde afstand per rit (gemiddeld) (km)";"Reisduur per rit (Minuten)"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"1999*";3,41;10,96;23,72
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2000*";3,35;11;23,73
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2001*";3,3;10,99;23,67
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2002*";3,3;11,01;23,49
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2003*";3,3;11,04;23,65
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2004*";3,29;11,03;23,58
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2005*";3,23;11,07;23,69
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2006*";3,25;11,01;23,69
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2007*";3,2;11,07;23,88
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2008*";3,17;10,82;23,41
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2009*";3,2;10,9;23,58
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2010*";3,21;10,93;23,5
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2011*";3,09;11,21;23,76
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2012*";3,11;11,13;23,84
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2013*";3,12;11,19;23,64
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2014*";3,13;11,23;24,07
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2015*";3,03;11,36;24,14
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2016*";2,99;11,34;24,1
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2017*";2,95;11,5;24,12
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2018*";3,04;11,55;24,15
