"Modes of travel";"Population";"Margins";"Region characteristics";"ds";"y"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2018";"   218.1"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2019";"   218.8"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2020";"   152.0"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2021";"   168.4"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2022";"   186.9"
"Total";"Population 6 years or older";"Value";"The Netherlands";"2023";"   199.3"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2018";"    25.0"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2019";"    25.1"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2020";"    17.1"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2021";"    19.4"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2022";"    21.6"
"Total";"Population 6 years or older";"Value";"Noord-Nederland (LD)";"2023";"    22.0"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2018";"    49.3"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2019";"    49.8"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2020";"    35.1"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2021";"    38.7"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2022";"    43.1"
"Total";"Population 6 years or older";"Value";"Oost-Nederland (LD)";"2023";"    45.6"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2018";"    98.7"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2019";"    99.6"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2020";"    68.4"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2021";"    76.1"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2022";"    82.8"
"Total";"Population 6 years or older";"Value";"West-Nederland (LD)";"2023";"    89.4"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2018";"    45.1"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2019";"    44.4"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2020";"    31.6"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2021";"    34.1"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2022";"    39.4"
"Total";"Population 6 years or older";"Value";"Zuid-Nederland (LD)";"2023";"    42.3"
"Total";"Population 6 years or older";"Value";"Groningen (PV)";"2018";"     7.8"
